faixa_etaria;tamanho_familia;renda_familiar;redacao;sexo_feminino;escola_privada;escola_publica;treineiro;media_objetivas;faltou;branco_amarelo;preto_pardo_indigena;acesso_tecnologia
4;4;8;900.0;0;0;0;0;646.8499999999999;0;0;1;1
8;4;1;;1;0;0;0;;1;0;1;1
1;2;1;540.0;0;0;0;0;512.05;0;1;0;1
19;4;1;780.0;0;0;0;1;559.45;0;1;0;1
1;4;2;;0;0;1;0;;1;0;1;1
5;3;1;600.0;1;0;0;0;484.40000000000003;0;0;1;0
10;3;16;640.0;1;0;0;0;480.35;0;0;1;1
2;3;2;520.0;0;0;0;0;466.2;0;1;0;1
0;3;1;580.0;1;0;1;0;546.675;0;1;0;1
7;4;1;480.0;1;0;0;0;504.0;1;0;1;1
11;4;3;;0;0;0;0;;1;0;1;1
11;2;2;580.0;0;0;0;0;551.0;1;1;0;1
2;5;2;500.0;0;0;0;0;355.475;0;0;0;0
3;4;16;;1;0;0;0;;1;1;0;1
19;5;13;700.0;1;0;0;1;548.475;0;1;0;1
2;3;1;780.0;1;0;1;0;445.3;0;0;1;0
19;4;4;740.0;0;0;0;1;609.45;0;1;0;1
1;3;1;740.0;1;0;0;0;513.225;0;0;1;1
8;2;1;620.0;1;0;0;0;529.3249999999999;0;0;1;1
0;5;11;700.0;1;1;0;0;577.25;0;0;1;1
2;3;9;620.0;0;0;1;0;534.0;0;1;0;1
1;4;8;860.0;1;0;1;0;506.35;0;0;1;1
4;4;8;680.0;1;0;0;0;535.85;0;0;1;1
1;4;2;0.0;1;0;1;0;413.85;1;0;1;1
11;4;10;560.0;1;0;0;0;569.525;0;0;1;1
1;5;10;900.0;1;0;0;0;528.075;0;1;0;1
12;7;2;340.0;0;0;0;0;406.92499999999995;0;0;1;1
3;4;1;;0;0;1;0;;1;1;0;1
7;1;1;320.0;1;0;0;0;430.45000000000005;0;0;1;0
0;4;0;700.0;0;1;0;0;617.7;0;1;0;1
12;2;7;;0;0;0;0;;1;1;0;1
0;4;11;660.0;1;0;1;0;448.92500000000007;0;1;0;1
0;4;4;900.0;1;0;0;1;601.775;0;1;0;1
3;4;8;560.0;0;0;0;0;520.075;0;1;0;1
2;5;1;0.0;1;0;0;0;543.1;1;0;1;1
0;2;1;0.0;1;0;1;0;564.6999999999999;0;1;0;1
1;2;1;580.0;1;0;0;0;500.125;0;0;1;1
2;4;3;;1;0;1;0;;1;0;1;1
2;4;1;;0;0;0;0;;1;0;1;1
2;5;3;;1;0;0;0;;1;1;0;1
2;2;8;760.0;0;0;0;0;466.6;0;1;0;1
10;3;2;;1;0;0;0;;1;0;1;1
0;3;2;620.0;1;0;1;0;498.15;0;0;1;1
7;3;3;;1;0;0;0;;1;1;0;1
1;3;1;;1;0;0;0;;1;0;1;1
0;4;12;0.0;1;0;0;1;532.125;0;1;0;1
0;4;7;900.0;0;1;0;0;745.275;0;1;0;1
2;3;1;;1;0;0;0;;1;0;1;1
9;3;16;540.0;1;0;0;0;476.65;0;0;1;0
0;5;2;660.0;1;0;1;0;540.625;0;1;0;1
1;4;1;620.0;1;0;1;0;497.90000000000003;0;1;0;0
0;5;3;700.0;0;0;1;0;508.15;0;0;1;1
1;3;2;;0;0;1;0;;1;0;0;1
10;2;10;580.0;1;0;0;0;548.275;0;0;1;1
10;4;9;560.0;0;0;0;0;587.8249999999999;0;1;0;1
1;6;2;460.0;0;0;1;0;499.07500000000005;0;0;1;1
19;4;14;820.0;0;0;0;1;470.27500000000003;0;0;1;1
2;5;16;;1;0;0;0;;1;0;1;0
4;3;3;700.0;1;0;0;0;585.2249999999999;0;0;1;1
1;6;1;;1;0;0;0;;1;0;1;1
0;4;1;720.0;1;0;0;1;579.9;0;0;1;1
9;6;9;360.0;1;0;0;0;439.6;0;0;1;1
2;3;1;500.0;1;0;1;0;383.3;0;0;1;1
1;3;8;600.0;0;1;0;0;595.7;0;0;1;1
1;4;3;760.0;0;0;1;0;638.1500000000001;0;0;1;1
1;3;1;360.0;0;0;0;0;446.475;0;1;0;0
2;4;2;560.0;1;0;0;0;420.07499999999993;0;0;1;1
11;8;8;360.0;1;0;0;0;566.6750000000001;0;0;1;1
11;4;2;;0;0;0;0;;1;0;1;1
9;1;2;500.0;0;0;0;0;419.34999999999997;0;1;0;1
9;1;3;;1;0;0;0;;1;0;1;1
2;4;11;;1;0;0;0;;1;1;0;1
0;3;1;580.0;1;0;0;1;448.65;0;0;1;1
1;3;1;520.0;0;0;1;0;563.525;0;0;1;1
3;3;1;;0;0;0;0;;1;1;0;1
0;4;1;860.0;1;0;1;0;576.5;0;1;0;1
0;4;2;760.0;1;0;0;1;473.45;0;1;0;1
0;2;2;860.0;1;0;1;0;544.275;0;0;1;1
0;3;11;800.0;0;1;0;0;538.025;0;0;1;1
7;2;2;;0;0;0;0;;1;0;1;1
2;5;1;;1;0;0;0;;1;1;0;1
1;4;2;640.0;1;0;1;0;452.82500000000005;0;0;1;1
0;4;11;880.0;1;1;0;0;529.875;0;0;1;1
0;4;1;620.0;1;0;0;1;558.05;0;0;1;1
1;3;12;860.0;1;0;1;0;586.2;0;1;0;1
1;3;3;640.0;1;0;0;1;535.6500000000001;0;0;1;1
0;4;1;;0;0;1;0;;1;0;1;1
19;4;14;860.0;1;0;0;1;528.125;0;1;0;1
1;5;1;800.0;1;0;0;0;439.875;0;0;1;1
2;3;1;760.0;1;0;0;0;537.225;0;0;1;1
19;4;2;;1;0;0;1;;1;0;1;1
1;3;1;580.0;0;0;1;0;504.225;0;1;0;1
4;4;13;;1;0;0;0;;1;0;1;1
12;3;1;0.0;1;0;0;0;403.95;1;0;1;0
3;4;1;;1;0;0;0;;1;0;1;0
19;5;3;;1;0;0;1;;1;0;1;1
0;3;1;640.0;0;0;1;0;536.35;0;1;0;1
2;3;1;;1;0;0;0;;1;0;1;1
10;7;3;620.0;1;0;0;0;447.79999999999995;0;1;0;0
1;3;2;820.0;1;0;1;0;600.725;0;0;1;1
11;5;1;;1;0;1;0;;1;0;1;0
0;4;13;820.0;1;0;0;1;583.75;0;1;0;1
0;5;12;600.0;0;0;0;1;588.35;0;1;0;1
0;4;6;960.0;0;0;0;1;615.025;0;1;0;1
2;4;2;640.0;1;0;0;0;572.75;0;0;1;1
11;4;2;580.0;1;0;0;0;391.5;0;0;1;1
19;4;3;800.0;1;0;0;1;538.3249999999999;0;0;1;1
2;3;8;;0;0;0;0;;1;0;1;1
0;4;1;740.0;0;0;1;0;520.6;0;0;1;1
3;7;2;640.0;1;0;1;0;474.75;0;0;1;1
12;4;10;0.0;1;0;0;0;444.5;1;1;0;1
1;4;3;700.0;1;0;1;0;559.5;0;0;1;1
3;3;16;;1;0;0;0;;1;0;1;0
14;2;1;;1;0;0;0;;1;0;1;1
19;4;12;620.0;1;0;0;1;624.55;0;1;0;1
19;4;15;880.0;0;0;0;1;589.5999999999999;0;1;0;1
0;3;12;880.0;1;1;0;0;642.8249999999999;0;1;0;1
0;6;8;680.0;0;0;1;0;572.05;0;1;0;1
1;4;3;600.0;1;0;1;0;483.825;0;1;0;1
0;4;0;480.0;1;1;0;0;495.375;0;1;0;1
0;4;1;780.0;1;0;1;0;452.5;0;0;1;1
4;4;3;960.0;0;0;0;0;620.375;0;1;0;1
1;4;13;660.0;1;0;1;0;579.0;0;1;0;1
